config,attribute,ground_truth,predicted,correct,unknown
LLM-only,model_number,MZ-N6E500BW,MZ-76E500BW,False,False
LLM-only,model_number,ST6000VN0033,ST6000VN001,False,False
LLM-only,model_number,GP-GSM2NE3100TNTD,M.2 PCIe NVMe SSD 1TB V2 2550/2100 MB/s 295K/430K IOPS 1600TBW 2280 80mm 1.5M hrs MTBF HMB TRIM & SMART Solid State Drive 5yrs Wty >1600TBW,False,False
LLM-only,model_number,TUF-GTX1660S-6G-GAMING,TU106-410-A1,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,WDS100T1R0B,WD10EFRX-68EUZN0,False,False
LLM-only,model_number,GV-R56XTWF2OC-6GD,GV-R56XTWF6GC-6GD,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,NED3090019SB-132BA,GP104-468-A1,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,bus_type,SATA III,M.2,False,False
LLM-only,interface_type,Serial ATA III,M.2,False,False
LLM-only,model_number,AS102P-32G-RGY,S102PROADV,False,False
LLM-only,form_factor,"1""",Thumb Drive,False,False
LLM-only,storage_connection_type,USB Type C,USB,False,False
LLM-only,bus_type,USB 3.1,USB-C,False,False
LLM-only,storage_connection_type,USB,USB_3.0,False,False
LLM-only,model_number,ASX6000LNP-512GT-C,XPG-SX6000-LITE-512GB,False,False
LLM-only,interface_type,USB 3.0,USB 3.0,True,False
LLM-only,form_factor,Portable External,pocket-sized,False,False
LLM-only,model_number,WDBYNN0010BYL-WESN,WDBY8L0010BKL-AESN,False,False
LLM-only,form_factor,"2,5""",Portable,False,False
LLM-only,storage_connection_type,USB 3.0,USB3.0,False,False
LLM-only,model_number,759208-B21,HPE 3XB72AAE,False,False
LLM-only,model_number,TUF-GTX1660-6G-GAMING,TUFGTX1660-6GD6G,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,718037782898,WD10EZEX,False,False
LLM-only,interface_type,SATA,SATA3,False,False
LLM-only,form_factor,3.5 col,3.5,False,False
LLM-only,storage_connection_type,3.5 col,SATA3,False,False
LLM-only,model_number,08G-P4-3071-KR,08G-P4-2070-KR,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,interface_type,Type-C,USB3.1,False,False
LLM-only,form_factor,"2.5""",Thumb Drive,False,False
LLM-only,storage_connection_type,Type-C,USB3.1,False,False
LLM-only,model_number,GV-N105TOC-4GL,GV-N105TD5-4G,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,Low Profile,Low Profile,True,False
LLM-only,bus_type,USB 2.0,USB,False,False
LLM-only,model_number,WDBYVG0010BBK-WESN,WDBY8L0010BKK-03M0A,False,False
LLM-only,model_number,ZT-T20710D-10P,RTX2070S-8G-GAMING,False,False
LLM-only,model_number,ST1200MM0129,HDS5C1028MLE650,False,False
LLM-only,model_number,90YV0DQ2-M0NA00,RTX2060S-EVO-V1,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,storage_connection_type,"2.5"" SFF",SAS 12Gb/s,False,False
LLM-only,model_number,CT500P5SSD8,P5-500GB,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,bus_type,USB 3.2 Gen 2,SATA,False,False
LLM-only,interface_type,Type-C,USB-C,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,GVN166TA-00-G,NVIDIA-GV106-6G-A1,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,WDS480G2G0A,WDS480G2B0A,False,False
LLM-only,model_number,ST2000DM006,ST2000DM008,False,False
LLM-only,model_number,AUV128-16G-RBE,UV128-DASHDRI,False,False
LLM-only,model_number,WDBS4B0020BBK-WESN,WD My Passport 0820,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,interface_type,USB,USB,True,False
LLM-only,form_factor,PORTABLE,Portable,True,False
LLM-only,storage_connection_type,USB,USB,True,False
LLM-only,bus_type,USB,USB3.0,False,False
LLM-only,interface_type,USB,USB-C,False,False
LLM-only,storage_connection_type,USB,USB3.0,False,False
LLM-only,storage_connection_type,"2.5""",SAS,False,False
LLM-only,model_number,ZT-T16620D-10M,NVIDIA-TU116-4G,False,False
LLM-only,model_number,832514-b21,HPE-MD10**,False,False
LLM-only,model_number,912-V373-283,NVIDIA-RTX2070S-Gaming-X-8G,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,ROG -STRIX-RTX2060-O6G-EVO-GAMING,RTX2060-O6G-EVO-GAMING,False,False
LLM-only,storage_connection_type,2.5-inch SAS,SAS,False,False
LLM-only,interface_type,SATA,SATA III,False,False
LLM-only,form_factor,2.5,3.5-inch,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA III,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,TUF 3-RX5700XT-O8G-GAMING,TUF-3080GAMING-O8G,False,False
LLM-only,model_number,01G-P3-1313-KR,01D-P3-1151-KR,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,form_factor,Low Profile,Add-in card,False,False
LLM-only,form_factor,"2,5",Portable,False,False
LLM-only,form_factor,2.5in,2.5-inch,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA 6Gb/s,False,False
LLM-only,model_number,SSDPEKNW010T9X1,KT4F204S5/2000,False,False
LLM-only,model_number,VCQP400DVI-PB,P400-6QG3X,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,model_number,2240,A120GTT3H-2560A,False,False
LLM-only,interface_type,USB3.0,USB,False,False
LLM-only,form_factor,2.5,External,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,interface_type,Micro USB,USB_2.0,False,False
LLM-only,model_number,MZ-76Q4T0BW,MSB4T8T0K,False,False
LLM-only,model_number,11295-05-20G,NITRO+8GDDR6-4A785X,False,False
LLM-only,model_number,MU-PC1T0T,T7P1T0UW,False,False
LLM-only,interface_type,Type C / A,USB,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,DUAL-RTX2060-O6G-EVO,RTX2060-6GD6-DUAL-O6G-EVO,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,bus_type,SATA III,SATA,False,False
LLM-only,interface_type,SATA,SATA,True,False
LLM-only,form_factor,"3.5""",3.5,False,False
LLM-only,storage_connection_type,"3.5"" SATA",SATA,False,False
LLM-only,model_number,TUF-RTX3090-24G-GAMING,RTX 3090-TUF-GAMING-24G,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,model_number,WDS500G1R0A,SA500-500,False,False
LLM-only,interface_type,ATX,PCI-Express,False,False
LLM-only,model_number,DTDUO3/16GB,DTCOMDUO16G,False,False
LLM-only,interface_type,OTG,MicroUSB USB3.0,False,False
LLM-only,model_number,GV-R57XTGAMING OC-8GD,GV-R57XTOC-8GD,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,form_factor,2.5-Inch,2.5inch,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA,False,False
LLM-only,model_number,DUAL-RTX2070S-O8G-EVO,RTX2070-SUP-8G-DUAL-EVO,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,V375-032R,GP1660TI_VENTUS_XS_OC,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,781518-B21,HPE6TH30ABA,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,STEA500400,STEA5000400,False,False
LLM-only,interface_type,USB 3.0,USB 3.0,True,False
LLM-only,interface_type,USB 3.0,USB 3.0,True,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,storage_connection_type,"2.5""",USB3.0,False,False
LLM-only,model_number,MU-PC500T,T7P500G-TG,False,False
LLM-only,bus_type,USB 3.2 Gen 2,SATA,False,False
LLM-only,interface_type,Type-C,USB-C,False,False
LLM-only,model_number,ST14000NE0008,HDD14TB010,False,False
LLM-only,interface_type,SATA,SATA III,False,False
LLM-only,model_number,861691-B21,1TB3NSA086,False,False
LLM-only,model_number,WDS200T2B0B,WDS204T2B0A,False,False
LLM-only,model_number,SDCZ60-064G-B35,CUG64,False,False
LLM-only,model_number,WD82PURZ,WD08PURZ,False,False
LLM-only,model_number,ST1800MM0129,ST15000NM0219,False,False
LLM-only,model_number,GV-N1650OC-4GD,GV-N1650D5-4GC,False,False
LLM-only,model_number,100-505940,WX-9100,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe x16,False,False
LLM-only,model_number,ZA250CM1A003,ST250DM012,False,False
LLM-only,bus_type,USB 2.0,SATA,False,False
LLM-only,bus_type,USB 2.0,USB,False,False
LLM-only,model_number,HDWQ140UZSVA,N3004THC,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,SKC2000M8 / 500G,SM2262EN,False,False
LLM-only,model_number,WDS100T1R0A,WD1003FALS,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,652572-B21,HPE6TK450GJ8Y5M,False,False
LLM-only,model_number,SDIX30C-032G-GN6NN,I32G3A1,False,False
LLM-only,interface_type,Lightning,USB_A,False,False
LLM-only,model_number,STEB4000100,STEA4000100,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,model_number,ST12000NE0008,IWP12003036,False,False
LLM-only,interface_type,USB Type-A,USB_3.0,False,False
LLM-only,storage_connection_type,USB Type-A,USB_3.0,False,False
LLM-only,model_number,SSDSC2KG960G801,960GB-SSD/S4610,False,False
LLM-only,form_factor,"1""",External/Portable,False,False
LLM-only,model_number,WDS500G2B0B,WDBR1T0020IZL-2,False,False
LLM-only,form_factor,"2,5Zoll",2.5-inch,False,False
LLM-only,storage_connection_type,2.5-inch SATA,SATA 6Gb/s,False,False
LLM-only,model_number,90YV0DU0-M0NA00,8GB,False,False
LLM-only,model_number,ST8000VX004,ST8000AS0002,False,False
LLM-only,model_number,DTLPG3,DTLKPG/16GB,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,ST3000LM024,ST3000LM015,False,False
LLM-only,form_factor,"2.5""",Portable,False,False
LLM-only,model_number,STJP1000400,FIRECUDA GAMING 1TB,False,False
LLM-only,form_factor,external SSD,External,False,False
LLM-only,model_number,SSDPEKNW512G8X1,PEYM1CW560P,False,False
LLM-only,interface_type,NVMe,M.2 2280,False,False
LLM-only,model_number,MU-PA1T0B/WW,T5,False,False
LLM-only,model_number,ASX6000LNP-1TT-C,XPG-SX6000-LITE-1TB,False,False
LLM-only,model_number,90YV0AL0-M0NA00,GT710-SL-1GD5,False,False
LLM-only,model_number,WDBYNN0010BWT-WESN,WDBY8L0010BJK,False,False
LLM-only,bus_type,USB 3.0,SATA,False,False
LLM-only,bus_type,PCIe 4.0,PCIe,False,False
LLM-only,model_number,WDBYFT0040BOR-WESN,WDBYTF0000BBL-01,False,False
LLM-only,interface_type,USB,USB 3.0,False,False
LLM-only,model_number,AUV128-32G-RBE,UV128-64GB,False,False
LLM-only,bus_type,PCIe,Slot,False,False
LLM-only,form_factor,"1""",External,False,False
LLM-only,storage_connection_type,USB Type C,USB3.1,False,False
LLM-only,model_number,ROG-STRIX-RTX3080-10G-GAMING,T181,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,model_number,AXRX 5700XT 8GBD6-3DHR/OC,RD577X-3DH,False,False
LLM-only,model_number,ROG -STRIX-RTX2070S-A8G-GAMING,TURBO-RTX2070S-A8G-GAMING,False,False
LLM-only,model_number,NE51660018J9-165F,GVN16606SWL2-106,False,False
LLM-only,model_number,GV-N207SWF3OC-8GD,GV-N207SWF3OC-8G,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,ST16000NM001G,ST15000V0,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,model_number,ROG-STRIX-RTX3090-O24G-GAMING,TU106-400A-A1,False,False
LLM-only,bus_type,PCIe,PCIe,True,False
LLM-only,model_number,WDS500G1B0C,WDS500G2B0A,False,False
LLM-only,bus_type,PCIe 3.0 x16,PCIe,False,False
LLM-only,form_factor,Full-height,Graphics Card,False,False
LLM-only,model_number,PBU120GS25SSDR,PBM9S120G75,False,False
LLM-only,bus_type,PCIe 3.0,PCIe,False,False
LLM-only,model_number,MZ-V7S250BW,870 Evo Plus 250GB,False,False
LLM-only,model_number,SUV500MS-480GB,DS450S2M8/480G,False,False
RAG-full,model_number,GV-N3080GAMING OC-10GD,UNKNOWN,False,True
RAG-full,model_number,CSSD-F960GBMP510,UNKNOWN,False,True
RAG-full,model_number,90YV0CV2-M0NA00,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,bus_type,USB 3.0,UNKNOWN,False,True
RAG-full,model_number,GV-N166SOC-6GD,UNKNOWN,False,True
RAG-full,model_number,V375-040R,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,90YV0DQ0-M0NA00,UNKNOWN,False,True
RAG-full,bus_type,PCIe 4.0,UNKNOWN,False,True
RAG-full,model_number,AGAMMIXS11P-1TT-C,UNKNOWN,False,True
RAG-full,model_number,GV-R56XTGAMING OC-6GD,UNKNOWN,False,True
RAG-full,model_number,100-506008,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,model_number,NE6166SS18J9-161F,UNKNOWN,False,True
RAG-full,model_number,843266-B21,UNKNOWN,False,True
RAG-full,model_number,ROG-STRIX-RTX2080TI-O11G-GAMING,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,model_number,PBU240GS25SSDR,UNKNOWN,False,True
RAG-full,model_number,SDCZ50-128G-B35,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,bus_type,SATA III,UNKNOWN,False,True
RAG-full,model_number,WDBWLG0040HBK-EESN,UNKNOWN,False,True
RAG-full,model_number,WDBMCG5000ABT-WESN,UNKNOWN,False,True
RAG-full,bus_type,USB 3.0,UNKNOWN,False,True
RAG-full,model_number,DT100G3/256GB,UNKNOWN,False,True
RAG-full,model_number,ST4000NE001,UNKNOWN,False,True
RAG-full,interface_type,Micro B,UNKNOWN,False,True
RAG-full,model_number,PH-GTX1650-O4G,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,bus_type,SATA III,UNKNOWN,False,True
RAG-full,interface_type,SATA,481.64,False,False
RAG-full,form_factor,"2.5""",560,False,False
RAG-full,storage_connection_type,"2.5"" SATA",UNKNOWN,False,True
RAG-full,model_number,GP-ASM2NE6100TTTD,UNKNOWN,False,True
RAG-full,model_number,912-V372-257,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,DT100G3/128GB,UNKNOWN,False,True
RAG-full,bus_type,USB 3.0,UNKNOWN,False,True
RAG-full,interface_type,USB,UNKNOWN,False,True
RAG-full,form_factor,2.5,UNKNOWN,False,True
RAG-full,storage_connection_type,USB 3.0,UNKNOWN,False,True
RAG-full,model_number,PH-RTX2060-6G,UNKNOWN,False,True
RAG-full,bus_type,SATA III,UNKNOWN,False,True
RAG-full,interface_type,SATA,UNKNOWN,False,True
RAG-full,model_number,N20702-08D6-1710VA23,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,model_number,MZ-76P2T0B,UNKNOWN,False,True
RAG-full,model_number,CT2000P5SSD8,UNKNOWN,False,True
RAG-full,form_factor,Low Profile,UNKNOWN,False,True
RAG-full,model_number,ZT-A30900D-10P,24.0,False,False
RAG-full,bus_type,PCIe 4.0,UNKNOWN,False,True
RAG-full,model_number,CSSD-F500GBMP600,UNKNOWN,False,True
RAG-full,bus_type,PCIe 4.0,UNKNOWN,False,True
RAG-full,interface_type,USB-C,UNKNOWN,False,True
RAG-full,model_number,CT1000P1SSD8,UNKNOWN,False,True
RAG-full,model_number,MU-PC2T0H,UNKNOWN,False,True
RAG-full,bus_type,USB 3.2 Gen 2,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,model_number,ST300MP0106,UNKNOWN,False,True
RAG-full,interface_type,SAS,UNKNOWN,False,True
RAG-full,model_number,GT 710 1GD3H LP,UNKNOWN,False,True
RAG-full,model_number,02G-P3-2717-KR,UNKNOWN,False,True
RAG-full,form_factor,Single Slot,UNKNOWN,False,True
RAG-full,model_number,CT2000P1SSD8,UNKNOWN,False,True
RAG-full,bus_type,PCIe x16,UNKNOWN,False,True
RAG-full,model_number,MZ-76E500BW,UNKNOWN,False,True
RAG-full,model_number,MU-PC1T0S/WW,UNKNOWN,False,True
RAG-full,model_number,STHH1000400,UNKNOWN,False,True
RAG-full,interface_type,USB 3.0 & USB-C,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,storage_connection_type,USB,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,SDCZ48-032G-U46,UNKNOWN,False,True
RAG-full,model_number,MZ-76E2T0BW,UNKNOWN,False,True
RAG-full,model_number,801882-B21,UNKNOWN,False,True
RAG-full,model_number,WDS250G3X0C,1000.0,False,False
RAG-full,model_number,AGAMMIXS50-1TT-C,2100,False,False
RAG-full,model_number,GV-N165SOC-4GD,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,CT1000P5SSD8,UNKNOWN,False,True
RAG-full,storage_connection_type,USB,UNKNOWN,False,True
RAG-full,bus_type,PCIe x16,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,GV-N105TOC-4GD,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,form_factor,Low Profile,UNKNOWN,False,True
RAG-full,model_number,LAC301558,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,model_number,AGAMMIXS5-1TT-C,UNKNOWN,False,True
RAG-full,model_number,WD40PURX,UNKNOWN,False,True
RAG-full,model_number,GP-ASM2NE6500GTTD,UNKNOWN,False,True
RAG-full,model_number,WDS200T2B0A,UNKNOWN,False,True
RAG-full,interface_type,NVMe,Portable SSD T7,False,False
RAG-full,storage_connection_type,Type-C,UNKNOWN,False,True
RAG-full,model_number,GP-GSTFS31480GNTD,UNKNOWN,False,True
RAG-full,model_number,GV-N208SAORUS-8GC,UNKNOWN,False,True
RAG-full,bus_type,USB 3.0,UNKNOWN,False,True
RAG-full,interface_type,Lightning,UNKNOWN,False,True
RAG-full,model_number,XA1920ME10063,1920GB,False,False
RAG-full,model_number,NEAT7100HD46H,UNKNOWN,False,True
RAG-full,model_number,MTFDHBE3T8TDF-1AW1ZABYY,UNKNOWN,False,True
RAG-full,model_number,DC450R/3840G,UNKNOWN,False,True
RAG-full,model_number,WDS120G2G0A,UNKNOWN,False,True
RAG-full,model_number,CZ73,UNKNOWN,False,True
RAG-full,form_factor,3.5”,UNKNOWN,False,True
RAG-full,storage_connection_type,3.5” SATA,UNKNOWN,False,True
RAG-full,model_number,HDWD105UZSVA,UNKNOWN,False,True
RAG-full,bus_type,USB 3.0,UNKNOWN,False,True
RAG-full,interface_type,iOS,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,interface_type,SATA,UNKNOWN,False,True
RAG-full,model_number,GV-N2070WF2-8GD,1665,False,False
RAG-full,bus_type,PCIe,1665,False,False
RAG-full,bus_type,PCIe,UNKNOWN,False,True
RAG-full,bus_type,PCIe x16,7nm,False,False
RAG-full,model_number,MZ-V7S1T0B/AM,UNKNOWN,False,True
RAG-full,model_number,MZ-76P1T0B/EU,UNKNOWN,False,True
RAG-full,model_number,ZP480NM30011,UNKNOWN,False,True
RAG-full,model_number,MZ-V7E250BW,UNKNOWN,False,True
RAG-full,model_number,GV-RXVEGA56GAMING OC-8GD,UNKNOWN,False,True
RAG-full,model_number,HDWE140EZSTA,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,form_factor,ATX,UNKNOWN,False,True
RAG-full,model_number,AXRX5700XT-8GBD6-3DHDR/OC,UNKNOWN,False,True
RAG-full,model_number,GV-N166TOC-6GD,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,ZA500GM1A001,UNKNOWN,False,True
RAG-full,model_number,VPN100-512GM28H,UNKNOWN,False,True
RAG-full,bus_type,PCIe,UNKNOWN,False,True
RAG-full,model_number,CT500P2SSD8,UNKNOWN,False,True
RAG-full,model_number,DTEG2/64GB,UNKNOWN,False,True
RAG-full,interface_type,USB Type-A,UNKNOWN,False,True
RAG-full,storage_connection_type,USB Type-A,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,DT70/32GB,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,100-505957,UNKNOWN,False,True
RAG-full,form_factor,PCIe Add-in Card,161.385992,False,False
RAG-full,bus_type,USB 3.0,UNKNOWN,False,True
RAG-full,interface_type,Micro-USB 3.0 (Micro-B 10-pin),UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,bus_type,PCIe,UNKNOWN,False,True
RAG-full,model_number,V809-2404R,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,143.90,False,False
RAG-full,model_number,SKC600/512G,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,STEA2000403,UNKNOWN,False,True
RAG-full,interface_type,USB,UNKNOWN,False,True
RAG-full,model_number,SP512GBP34A80M28,512.0,False,False
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,MZ-76E250BW,UNKNOWN,False,True
RAG-full,model_number,WDS240G2G0B,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,storage_connection_type,"2.5""",UNKNOWN,False,True
RAG-full,model_number,WD20EURX,UNKNOWN,False,True
RAG-full,model_number,AS40G-1TT-C,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x4,UNKNOWN,False,True
RAG-full,model_number,06G-P4-1161-KR,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,interface_type,NVMe,UNKNOWN,False,True
RAG-full,model_number,AHD830-5TU31-CBK,UNKNOWN,False,True
RAG-full,interface_type,USB,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,model_number,GP-ASM2NE6200TTTD,UNKNOWN,False,True
RAG-full,model_number,STHN2000400,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,interface_type,USB tipo A,UNKNOWN,False,True
RAG-full,storage_connection_type,USB tipo A,UNKNOWN,False,True
RAG-full,model_number,WDS250G2B0C,UNKNOWN,False,True
RAG-full,model_number,DTDUO3/64GB,UNKNOWN,False,True
RAG-full,interface_type,USB,UNKNOWN,False,True
RAG-full,form_factor,Portable,UNKNOWN,False,True
RAG-full,storage_connection_type,USB,UNKNOWN,False,True
RAG-full,model_number,02G-P4-6333-KR,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,8.0,False,False
RAG-full,model_number,ZT-T20610E-10M,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,bus_type,SATA,UNKNOWN,False,True
RAG-full,interface_type,SATA,UNKNOWN,False,True
RAG-full,form_factor,"3.5""",UNKNOWN,False,True
RAG-full,storage_connection_type,3.5-inch SATA,UNKNOWN,False,True
RAG-full,model_number,HDWD120UZSVA,UNKNOWN,False,True
RAG-full,model_number,652611-B21,UNKNOWN,False,True
RAG-full,model_number,785067-B21,UNKNOWN,False,True
RAG-full,model_number,WD20EZRZ,UNKNOWN,False,True
RAG-full,model_number,GP-ASM2NE2512GTTDR,UNKNOWN,False,True
RAG-full,model_number,ST10000NM001G,UNKNOWN,False,True
RAG-full,bus_type,USB 3.1 Gen 2,550MB/s,False,False
RAG-full,interface_type,Type C & Type A Compatible,UNKNOWN,False,True
RAG-full,model_number,CT500X8SSD9,UNKNOWN,False,True
RAG-full,bus_type,USB 3.1 Gen 2,UNKNOWN,False,True
RAG-full,interface_type,USB-C,UNKNOWN,False,True
RAG-full,form_factor,External,UNKNOWN,False,True
RAG-full,storage_connection_type,USB-C,UNKNOWN,False,True
RAG-full,bus_type,PCIe 4.0,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",UNKNOWN,False,True
RAG-full,model_number,GV-N208SGAMING-OC-8GC,UNKNOWN,False,True
RAG-full,model_number,11G-P4-2589-KR,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,XA960LE10063,UNKNOWN,False,True
RAG-full,form_factor,"2.5""",480,False,False
RAG-full,storage_connection_type,"2.5"" SATA",UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,form_factor,ATX,128.0,False,False
RAG-full,model_number,ST10000VX0004,UNKNOWN,False,True
RAG-full,model_number,100-505826,UNKNOWN,False,True
RAG-full,form_factor,Single-Slot,UNKNOWN,False,True
RAG-full,model_number,MZ-76E1T0B,UNKNOWN,False,True
RAG-full,model_number,MZ-76P512B/EU,UNKNOWN,False,True
RAG-full,model_number,WDS100T2X0C,UNKNOWN,False,True
RAG-full,model_number,MU-PC2T0S/WW,865.33,False,False
RAG-full,form_factor,ATX,UNKNOWN,False,True
RAG-full,model_number,90YV0CU1-M0NA00,1830,False,False
RAG-full,bus_type,PCIe 3.0,UNKNOWN,False,True
RAG-full,model_number,ASX8200PNP-2TT-C,UNKNOWN,False,True
RAG-full,model_number,ZA480CV1A001,UNKNOWN,False,True
RAG-full,model_number,TUF-RTX2060-6G-GAMING,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,6.0,False,False
RAG-full,interface_type,USB,UNKNOWN,False,True
RAG-full,model_number,GV-N208SAORUS-WB-8GC,UNKNOWN,False,True
RAG-full,bus_type,PCIe 3.0 x16,UNKNOWN,False,True
RAG-full,form_factor,ATX Form,8796.00,False,False
RAG-full,model_number,ST4000NM0025,UNKNOWN,False,True
RAG-full,interface_type,USB,UNKNOWN,False,True
RAG-full,model_number,SDCZ73-256G-G46,UNKNOWN,False,True
RAG-full,model_number,SSDSC2KB019T7,UNKNOWN,False,True
RAG-full,bus_type,PCIe 4.0,UNKNOWN,False,True
RAG-full,interface_type,NVMe,UNKNOWN,False,True
RAG-full,model_number,GV-N730D5-2GL,UNKNOWN,False,True
RAG-full,form_factor,Low-profile,UNKNOWN,False,True
RAG-full,model_number,DUAL-RX580-O8G,UNKNOWN,False,True
